oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,city_st,pop,pop_rescaled,geometry,lon,lat
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2022-03-14,Spring,2022,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9344, 32.8024)",-79.9344,32.8024
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-08-29,Summer,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.8541, 32.7544)",-79.8541,32.7544
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-10-31,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8409, 32.757)",-79.8409,32.757
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-14,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8572, 32.7571)",-79.8572,32.7571
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-10-29,Fall,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9323, 32.8027)",-79.9323,32.80270000000001
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-09-04,Fall,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9074, 32.8132)",-79.90740000000001,32.8132
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-03-13,Spring,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9281, 32.7867)",-79.9281,32.7867
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2019-10-02,Fall,2019,3,"Charleston, SC",120083,1.43871661402552,"c(-79.9613, 32.788)",-79.9613,32.788
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2022-02-25,Winter,2022,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9252, 32.776)",-79.9252,32.77600000000001
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-10-31,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8998, 32.7517)",-79.8998,32.7517
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-08-28,Summer,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.8798, 32.7503)",-79.8798,32.750299999999996
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-10-09,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9349, 32.8026)",-79.9349,32.8026
