avg_m,pop,city_st,log_p,log_m
0.00471232,47387.952868826535,"Barnstable, MA",4.675677112406623,1.0020417277051472
0.003261625,46807.11532862974,"Barnstable, MA",4.670321155144659,1.0014142006950386
0,7109.5804784689,"Barrington, NJ",3.85190505618764,1
0,9799,"Bath, ME",3.9912260756924947,1
0,9733.984937117431,"Bath, ME",3.9883352838753785,1
0.006299666666666667,9674.185610479572,"Bath, ME",3.9856593053533618,1.0027273288312872
0,9618.622374234865,"Bath, ME",3.983158023804448,1
0.00216,9566.315582531764,"Bath, ME",3.980790099612426,1.0009370644152802
0.015118666666666666,9516.285589518717,"Bath, ME",3.9785131015791,1.0065168139399945
0.02306,9467.55274934417,"Bath, ME",3.976283602973035,1.0099011047823356
0.00108,9419.137416156576,"Bath, ME",3.974057238105323,1.000468784942128
0.004162133333333333,9370.059944104383,"Bath, ME",3.9717887159508773,1.0018038402264868
0,9319.340687336042,"Bath, ME",3.969431787453326,1
0.0038729230769230768,9266,"Bath, ME",3.966939163021113,1.001678740399234
0.004752,9209.199343886632,"Bath, ME",3.9642690300896897,1.0020588793458833
5.4e-4,9148.664611354012,"Bath, ME",3.9614051749289825,1.0002344557228784
0.0026999999999999997,9084.26280240214,"Bath, ME",3.9583374943278544,1.0011710149414006
0.0037960000000000003,9015.860917031016,"Bath, ME",3.955055370835972,1.0016454607409486
0.016613199999999998,8943.325955240643,"Bath, ME",3.9515476176871274,1.0071557444085337
0.0015736,8866.524917031016,"Bath, ME",3.9478024174782202,1.0006828686564642
0.008438666666666667,8785.32480240214,"Bath, ME",3.943807253707774,1.0036494895212869
9.786666666666667e-4,8699.592611354012,"Bath, ME",3.9395488341215947,1.0004248216874345
0.001236,4716.768125,"Bay Harbor Islands, FL",3.673736591804416,1.0005364565177575
0.0216,4703,"Bay Harbor Islands, FL",3.6724673130680823,1.009280884255359
0.0025919999999999997,4717.33375,"Bay Harbor Islands, FL",3.6737886573331426,1.0011242349172538
0.00336175,4741.36619047619,"Bay Harbor Islands, FL",3.6759950857794337,1.0014575409008575
